
######################################################################
# Sesion de entrenamiento iniciada: 2026-08-18 06:57:00
######################################################################

Usando dispositivo: cuda
GPU: NVIDIA GeForce RTX 2050
Split 'train': 33495 muestras
Split 'valid': 6305 muestras
Split 'test': 6305 muestras
Distribucion de rutas en train:
 A    11661
D     6101
C     5661
B     5371
E     4701
Name: count, dtype: int64
No se encontro checkpoint previo, comenzando desde cero.
============================================================
Comenzando epoca 1/60  (lr=1.00e-04)
[Train][Epoca 1/60] Batch 0/4187  Loss: 3.764539 (t=0.194109, q=0.357043)  Tiempo: 32.4s
[Train][Epoca 1/60] Batch 20/4187  Loss: 2.047961 (t=0.182076, q=0.186589)  Tiempo: 33.6s
[Train][Epoca 1/60] Batch 40/4187  Loss: 1.655699 (t=0.172734, q=0.148297)  Tiempo: 34.7s
[Train][Epoca 1/60] Batch 60/4187  Loss: 0.677249 (t=0.228662, q=0.044859)  Tiempo: 36.0s
[Train][Epoca 1/60] Batch 80/4187  Loss: 0.749150 (t=0.175374, q=0.057378)  Tiempo: 37.2s
[Train][Epoca 1/60] Batch 100/4187  Loss: 0.628281 (t=0.237294, q=0.039099)  Tiempo: 38.4s
[Train][Epoca 1/60] Batch 120/4187  Loss: 0.635657 (t=0.186484, q=0.044917)  Tiempo: 39.6s
[Train][Epoca 1/60] Batch 140/4187  Loss: 0.339117 (t=0.230533, q=0.010858)  Tiempo: 40.9s
[Train][Epoca 1/60] Batch 160/4187  Loss: 0.299386 (t=0.194139, q=0.010525)  Tiempo: 42.2s
[Train][Epoca 1/60] Batch 180/4187  Loss: 0.383582 (t=0.131733, q=0.025185)  Tiempo: 43.4s
[Train][Epoca 1/60] Batch 200/4187  Loss: 0.774530 (t=0.217461, q=0.055707)  Tiempo: 44.7s
[Train][Epoca 1/60] Batch 220/4187  Loss: 2.309075 (t=0.236478, q=0.207260)  Tiempo: 45.9s
[Train][Epoca 1/60] Batch 240/4187  Loss: 0.290025 (t=0.153553, q=0.013647)  Tiempo: 47.1s
[Train][Epoca 1/60] Batch 260/4187  Loss: 0.280245 (t=0.131794, q=0.014845)  Tiempo: 48.3s
[Train][Epoca 1/60] Batch 280/4187  Loss: 0.330410 (t=0.103027, q=0.022738)  Tiempo: 49.5s
[Train][Epoca 1/60] Batch 300/4187  Loss: 0.887170 (t=0.126827, q=0.076034)  Tiempo: 51.0s
[Train][Epoca 1/60] Batch 320/4187  Loss: 0.516007 (t=0.153187, q=0.036282)  Tiempo: 52.8s
[Train][Epoca 1/60] Batch 340/4187  Loss: 0.654889 (t=0.199980, q=0.045491)  Tiempo: 54.7s
[Train][Epoca 1/60] Batch 360/4187  Loss: 0.286440 (t=0.188492, q=0.009795)  Tiempo: 57.1s
[Train][Epoca 1/60] Batch 380/4187  Loss: 0.896438 (t=0.245500, q=0.065094)  Tiempo: 58.4s
[Train][Epoca 1/60] Batch 400/4187  Loss: 0.304358 (t=0.131346, q=0.017301)  Tiempo: 59.6s
[Train][Epoca 1/60] Batch 420/4187  Loss: 0.208955 (t=0.129956, q=0.007900)  Tiempo: 60.8s
